Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1597622400.0,2020-08-17,LTCUSD,63.91,64.3,61.42,62.78,109303.57,6888129.05
1597536000.0,2020-08-16,LTCUSD,59.9,64.64,57.64,63.91,432699.31,26692591.98
1597449600.0,2020-08-15,LTCUSD,56.85,60.89,56.57,59.9,358644.0,21182889.71
1597363200.0,2020-08-14,LTCUSD,57.18,57.92,55.92,56.85,223905.26,12724980.24
1597276800.0,2020-08-13,LTCUSD,54.55,57.35,51.89,57.18,247877.52,13628303.2
1597190400.0,2020-08-12,LTCUSD,54.12,55.09,51.61,54.55,186859.89,10126012.1
1597104000.0,2020-08-11,LTCUSD,58.31,59.7,52.41,54.12,275892.04,15418969.86
1597017600.0,2020-08-10,LTCUSD,56.97,59.49,56.57,58.31,187582.19,10894601.2
1596931200.0,2020-08-09,LTCUSD,58.46,58.72,56.1,56.97,118706.67,6808559.77
1596844800.0,2020-08-08,LTCUSD,57.25,58.61,56.51,58.46,119001.48,6869779.25
1596758400.0,2020-08-07,LTCUSD,59.09,61.1,54.76,57.25,282108.71,16439093.81
1596672000.0,2020-08-06,LTCUSD,58.97,60.78,57.78,59.09,206941.94,12289022.84
1596585600.0,2020-08-05,LTCUSD,57.65,59.92,56.73,58.97,207576.76,12188623.5
1596499200.0,2020-08-04,LTCUSD,58.54,59.6,56.33,57.65,183754.76,10637950.08
1596412800.0,2020-08-03,LTCUSD,56.77,60.1,55.72,58.54,268801.25,15649508.65
1596326400.0,2020-08-02,LTCUSD,61.72,65.31,52.7,56.77,643185.39,37794818.2
1596240000.0,2020-08-01,LTCUSD,58.22,62.36,57.64,61.72,393371.8,23687900.81
1596153600.0,2020-07-31,LTCUSD,56.81,59.22,55.85,58.22,215057.67,12403667.29
1596067200.0,2020-07-30,LTCUSD,55.2,59.14,53.92,56.81,311126.23,17601896.74
1595980800.0,2020-07-29,LTCUSD,55.85,56.99,54.77,55.2,256966.93,14346651.74
1595894400.0,2020-07-28,LTCUSD,53.38,57.99,51.71,55.85,565220.62,31116070.31
1595808000.0,2020-07-27,LTCUSD,48.14,56.27,46.93,53.38,686299.75,35355987.59
1595721600.0,2020-07-26,LTCUSD,49.23,50.79,47.64,48.14,240142.14,11710999.24
1595635200.0,2020-07-25,LTCUSD,44.16,49.64,44.09,49.23,414129.23,19783395.63
1595548800.0,2020-07-24,LTCUSD,44.98,45.02,44,44.16,83953.97,3735888.5
1595462400.0,2020-07-23,LTCUSD,45.02,45.75,44.55,44.98,159552.92,7204029.83
1595376000.0,2020-07-22,LTCUSD,43.83,45.17,43.22,45.02,103094.14,4547876.33
1595289600.0,2020-07-21,LTCUSD,41.97,44.1,41.89,43.83,143836.77,6253395.06
1595203200.0,2020-07-20,LTCUSD,42.65,42.84,41.45,41.97,63463.0,2680494.06
1595116800.0,2020-07-19,LTCUSD,42.46,42.92,41.88,42.65,45069.34,1911734.11
1595030400.0,2020-07-18,LTCUSD,41.88,42.91,41.75,42.46,66946.45,2837737.49
1594944000.0,2020-07-17,LTCUSD,42.08,42.46,41.67,41.88,70494.94,2958937.46
1594857600.0,2020-07-16,LTCUSD,43.3,43.44,40.86,42.08,175535.25,7370275.39
1594771200.0,2020-07-15,LTCUSD,43.88,44,42.84,43.3,94277.47,4091776.95
1594684800.0,2020-07-14,LTCUSD,43.9,44,42.89,43.88,97518.5,4254744.28
1594598400.0,2020-07-13,LTCUSD,44.71,45.55,42.62,43.9,197318.17,8765758.79
1594512000.0,2020-07-12,LTCUSD,44.74,45.24,43.76,44.71,88298.68,3944756.99
1594425600.0,2020-07-11,LTCUSD,44.32,44.75,43.88,44.74,54369.82,2414788.35
1594339200.0,2020-07-10,LTCUSD,44.35,44.55,43.44,44.32,59560.95,2626083.92
1594252800.0,2020-07-09,LTCUSD,45.33,45.86,43.54,44.35,143486.89,6404453.08
1594166400.0,2020-07-08,LTCUSD,43.39,45.63,43.11,45.33,194139.72,8716572.63
1594080000.0,2020-07-07,LTCUSD,44.03,44.46,42.84,43.39,95867.9,4179146.15
1593993600.0,2020-07-06,LTCUSD,41.6,44.28,41.53,44.03,123371.6,5315200.61
1593907200.0,2020-07-05,LTCUSD,42.15,42.22,40.75,41.6,48602.14,2012285.54
1593820800.0,2020-07-04,LTCUSD,41.17,42.25,41.08,42.15,69557.95,2902751.59
1593734400.0,2020-07-03,LTCUSD,41.05,41.69,40.9,41.17,59854.6,2471821.7
1593648000.0,2020-07-02,LTCUSD,41.8,41.91,40.32,41.05,92587.92,3808595.84
1593561600.0,2020-07-01,LTCUSD,41.17,42.02,40.96,41.8,90044.38,3743527.2
1593475200.0,2020-06-30,LTCUSD,41.87,42.06,40.73,41.17,87721.54,3622795.88
1593388800.0,2020-06-29,LTCUSD,41.32,42.24,40.57,41.87,138471.46,5744705.49
1593302400.0,2020-06-28,LTCUSD,41.04,42.04,40.4,41.32,76550.15,3159242.35
1593216000.0,2020-06-27,LTCUSD,43.04,43.07,39.18,41.04,138317.05,5675361.06
1593129600.0,2020-06-26,LTCUSD,42.32,43.55,41.3,43.04,105107.46,4489424.73
1593043200.0,2020-06-25,LTCUSD,42.56,42.96,41.61,42.32,98751.72,4186714.17
1592956800.0,2020-06-24,LTCUSD,44.16,44.6,42,42.56,120432.61,5196862.35
