Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1597622400.0,2020-08-17,XRPUSD,0.3047,0.306,0.2973,0.2987,2773784.46,835304.4
1597536000.0,2020-08-16,XRPUSD,0.2989,0.3048,0.292,0.3047,22590331.96,6745919.73
1597449600.0,2020-08-15,XRPUSD,0.3003,0.3055,0.2906,0.2989,22425828.83,6724462.69
1597363200.0,2020-08-14,XRPUSD,0.2951,0.3074,0.2902,0.3003,36410167.71,10895959.17
1597276800.0,2020-08-13,XRPUSD,0.2823,0.2957,0.2728,0.2951,28759126.28,8146714.55
1597190400.0,2020-08-12,XRPUSD,0.2829,0.2875,0.2721,0.2823,20407156.34,5743181.93
1597104000.0,2020-08-11,XRPUSD,0.2947,0.3075,0.2678,0.2829,40399350.14,11719046.47
1597017600.0,2020-08-10,XRPUSD,0.2879,0.3008,0.2848,0.2947,22244782.37,6558325.29
1596931200.0,2020-08-09,XRPUSD,0.2957,0.2984,0.2822,0.2879,18179513.63,5264545.65
1596844800.0,2020-08-08,XRPUSD,0.2947,0.2991,0.2906,0.2957,13799459.83,4065512.01
1596758400.0,2020-08-07,XRPUSD,0.3034,0.3105,0.2781,0.2947,33950956.21,10046274.28
1596672000.0,2020-08-06,XRPUSD,0.3028,0.3114,0.2974,0.3034,19144999.61,5821866.51
1596585600.0,2020-08-05,XRPUSD,0.3016,0.3088,0.2912,0.3028,27673975.91,8333356.79
1596499200.0,2020-08-04,XRPUSD,0.3103,0.3195,0.2912,0.3016,38612557.65,11768043.62
1596412800.0,2020-08-03,XRPUSD,0.288,0.32,0.2841,0.3103,54090485.58,16672666.38
1596326400.0,2020-08-02,XRPUSD,0.2914,0.3262,0.24,0.288,98293132.26,28754128.28
1596240000.0,2020-08-01,XRPUSD,0.2601,0.2982,0.2561,0.2914,62184183.45,17377586.41
1596153600.0,2020-07-31,XRPUSD,0.2446,0.2612,0.2421,0.2601,24985822.82,6250684.07
1596067200.0,2020-07-30,XRPUSD,0.2434,0.2498,0.235,0.2446,19951842.47,4858745.49
1595980800.0,2020-07-29,XRPUSD,0.2309,0.25,0.2299,0.2434,28536072.78,6893250.43
1595894400.0,2020-07-28,XRPUSD,0.2243,0.235,0.2172,0.2309,19955499.71,4515301.91
1595808000.0,2020-07-27,XRPUSD,0.2155,0.2295,0.209,0.2243,29684927.26,6530934.82
1595721600.0,2020-07-26,XRPUSD,0.2149,0.2253,0.213,0.2155,21921072.82,4783088.78
1595635200.0,2020-07-25,XRPUSD,0.2043,0.2178,0.2039,0.2149,11528627.77,2438427.72
1595548800.0,2020-07-24,XRPUSD,0.2086,0.2087,0.2019,0.2043,10545970.79,2160468.53
1595462400.0,2020-07-23,XRPUSD,0.2042,0.2105,0.202,0.2086,19598898.3,4040903.05
1595376000.0,2020-07-22,XRPUSD,0.1996,0.2048,0.1963,0.2042,11468163.42,2294188.14
1595289600.0,2020-07-21,XRPUSD,0.1948,0.2011,0.1942,0.1996,8895256.83,1765418.44
1595203200.0,2020-07-20,XRPUSD,0.1996,0.2003,0.1917,0.1948,8370877.9,1644937.43
1595116800.0,2020-07-19,XRPUSD,0.1997,0.2022,0.1958,0.1996,8950190.84,1774600.32
1595030400.0,2020-07-18,XRPUSD,0.1945,0.2019,0.1939,0.1997,9271839.4,1838441.45
1594944000.0,2020-07-17,XRPUSD,0.194,0.1977,0.1911,0.1945,10814391.77,2102949.71
1594857600.0,2020-07-16,XRPUSD,0.1972,0.1973,0.1885,0.194,11658006.71,2241516.94
1594771200.0,2020-07-15,XRPUSD,0.1989,0.1997,0.1965,0.1972,8948759.35,1769486.0
1594684800.0,2020-07-14,XRPUSD,0.1986,0.1996,0.1951,0.1989,7624675.79,1508636.94
1594598400.0,2020-07-13,XRPUSD,0.2011,0.2067,0.1921,0.1986,22966785.13,4587413.61
1594512000.0,2020-07-12,XRPUSD,0.2011,0.2039,0.1975,0.2011,8885703.94,1781480.42
1594425600.0,2020-07-11,XRPUSD,0.1988,0.2047,0.1981,0.2011,10016855.15,2011924.03
1594339200.0,2020-07-10,XRPUSD,0.2026,0.2026,0.1922,0.1988,15530607.67,3067563.15
1594252800.0,2020-07-09,XRPUSD,0.2055,0.2118,0.197,0.2026,24650254.56,4994505.6
1594166400.0,2020-07-08,XRPUSD,0.1852,0.2067,0.184,0.2055,34593697.85,6900666.87
1594080000.0,2020-07-07,XRPUSD,0.1887,0.1895,0.1831,0.1852,7222890.15,1343504.52
1593993600.0,2020-07-06,XRPUSD,0.1773,0.1892,0.1767,0.1887,11125570.12,2058376.62
1593907200.0,2020-07-05,XRPUSD,0.178,0.1788,0.174,0.1773,5539508.06,977681.55
1593820800.0,2020-07-04,XRPUSD,0.1764,0.1795,0.1761,0.178,3467680.82,617415.94
1593734400.0,2020-07-03,XRPUSD,0.1749,0.1785,0.1745,0.1764,4773213.07,844176.37
1593648000.0,2020-07-02,XRPUSD,0.1766,0.1773,0.1723,0.1749,7375360.68,1289764.74
1593561600.0,2020-07-01,XRPUSD,0.1754,0.1783,0.1738,0.1766,6690255.73,1178086.83
1593475200.0,2020-06-30,XRPUSD,0.1774,0.1777,0.1749,0.1754,6716179.66,1183340.53
1593388800.0,2020-06-29,XRPUSD,0.1768,0.1791,0.1749,0.1774,11569783.66,2046802.27
1593302400.0,2020-06-28,XRPUSD,0.1751,0.1797,0.1733,0.1768,6254873.4,1109334.22
1593216000.0,2020-06-27,XRPUSD,0.1825,0.1832,0.169,0.1751,13938490.42,2450450.07
1593129600.0,2020-06-26,XRPUSD,0.1814,0.1868,0.1783,0.1825,11210392.75,2036027.13
1593043200.0,2020-06-25,XRPUSD,0.1833,0.1839,0.1784,0.1814,8205608.24,1491252.16
1592956800.0,2020-06-24,XRPUSD,0.1888,0.19,0.1814,0.1833,8569925.11,1584214.52
1592870400.0,2020-06-23,XRPUSD,0.1899,0.1905,0.1884,0.1888,7288598.15,1377474.54
1592784000.0,2020-06-22,XRPUSD,0.1857,0.1905,0.1857,0.1899,10821989.0,2041750.05
1592697600.0,2020-06-21,XRPUSD,0.1878,0.1882,0.1855,0.1857,2650177.32,495352.24
1592611200.0,2020-06-20,XRPUSD,0.1869,0.1889,0.1848,0.1878,4116504.46,770392.74
1592524800.0,2020-06-19,XRPUSD,0.1896,0.19,0.1863,0.1869,6293378.0,1184520.12
1592438400.0,2020-06-18,XRPUSD,0.1931,0.1931,0.1881,0.1896,8414301.9,1603443.88
1592352000.0,2020-06-17,XRPUSD,0.1924,0.1987,0.1884,0.1931,13177761.66,2539411.99
1592265600.0,2020-06-16,XRPUSD,0.1926,0.1941,0.1901,0.1924,10473653.21,2010130.4
1592179200.0,2020-06-15,XRPUSD,0.1902,0.1936,0.182,0.1926,11116338.93,2087393.57
1592092800.0,2020-06-14,XRPUSD,0.1927,0.1927,0.1888,0.1902,4142703.53,791121.6
1592006400.0,2020-06-13,XRPUSD,0.1929,0.1938,0.191,0.1927,4230313.88,812934.2
1591920000.0,2020-06-12,XRPUSD,0.1888,0.1949,0.1866,0.1929,9465072.58,1819451.15
1591833600.0,2020-06-11,XRPUSD,0.2026,0.2035,0.183,0.1888,18136941.1,3500917.5
1591747200.0,2020-06-10,XRPUSD,0.2014,0.2041,0.2,0.2026,5642782.05,1138975.37
1591660800.0,2020-06-09,XRPUSD,0.2043,0.2056,0.2003,0.2014,8000301.07,1617969.95
1591574400.0,2020-06-08,XRPUSD,0.2033,0.2045,0.2014,0.2043,5629728.66,1141154.87
1591488000.0,2020-06-07,XRPUSD,0.2038,0.2049,0.1986,0.2033,7617485.85,1538072.94
1591401600.0,2020-06-06,XRPUSD,0.2028,0.2048,0.2013,0.2038,5059707.22,1026566.74
1591315200.0,2020-06-05,XRPUSD,0.2043,0.2057,0.2013,0.2028,6104665.02,1241054.52
1591228800.0,2020-06-04,XRPUSD,0.204,0.2074,0.1993,0.2043,8866398.77,1809594.14
1591142400.0,2020-06-03,XRPUSD,0.2031,0.2047,0.201,0.204,6433295.47,1307586.46
1591056000.0,2020-06-02,XRPUSD,0.211,0.2146,0.1977,0.2031,19058582.41,3917283.26
1590969600.0,2020-06-01,XRPUSD,0.2024,0.213,0.2012,0.211,8938979.87,1852899.94
1590883200.0,2020-05-31,XRPUSD,0.207,0.2136,0.2002,0.2024,9261753.57,1915808.85
1590796800.0,2020-05-30,XRPUSD,0.1975,0.2079,0.1961,0.207,7867714.21,1586995.41
1590710400.0,2020-05-29,XRPUSD,0.2005,0.203,0.1963,0.1975,6386536.21,1273532.97
1590624000.0,2020-05-28,XRPUSD,0.1976,0.201,0.195,0.2005,3998695.4,790896.87
1590537600.0,2020-05-27,XRPUSD,0.1938,0.2004,0.1938,0.1976,11569224.16,2282103.21
1590451200.0,2020-05-26,XRPUSD,0.196,0.1969,0.1914,0.1938,4225710.9,820410.64
1590364800.0,2020-05-25,XRPUSD,0.1926,0.1971,0.1898,0.196,6195603.01,1200750.88
1590278400.0,2020-05-24,XRPUSD,0.1988,0.2012,0.1923,0.1926,7310393.29,1444727.41
1590192000.0,2020-05-23,XRPUSD,0.2001,0.2022,0.1981,0.1988,5016523.21,1004100.26
1590105600.0,2020-05-22,XRPUSD,0.1942,0.2026,0.192,0.2001,11510965.75,2295293.37
1590019200.0,2020-05-21,XRPUSD,0.2019,0.2029,0.1894,0.1942,13858255.43,2701057.83
1589932800.0,2020-05-20,XRPUSD,0.205,0.206,0.1973,0.2019,9115140.67,1840261.57
1589846400.0,2020-05-19,XRPUSD,0.2053,0.2066,0.2009,0.205,5969373.4,1216219.81
1589760000.0,2020-05-18,XRPUSD,0.2011,0.2082,0.2011,0.2053,7240136.79,1481125.17
1589673600.0,2020-05-17,XRPUSD,0.1996,0.2048,0.1991,0.2011,4255461.62,861934.41
1589587200.0,2020-05-16,XRPUSD,0.1973,0.2022,0.1964,0.1996,4897585.99,977757.6
1589500800.0,2020-05-15,XRPUSD,0.204,0.2046,0.1952,0.1973,9877958.22,1970490.16
1589414400.0,2020-05-14,XRPUSD,0.202,0.2065,0.1985,0.204,11354989.99,2305910.61
1589328000.0,2020-05-13,XRPUSD,0.1971,0.2042,0.196,0.202,5387440.63,1080802.99
1589241600.0,2020-05-12,XRPUSD,0.1933,0.2002,0.1917,0.1971,8128020.36,1598930.18
1589155200.0,2020-05-11,XRPUSD,0.1975,0.2001,0.185,0.1933,18056276.59,3478612.33
1589068800.0,2020-05-10,XRPUSD,0.2156,0.2161,0.18,0.1975,28449201.52,5564498.94
1588982400.0,2020-05-09,XRPUSD,0.2193,0.2253,0.2152,0.2156,10846144.34,2392657.44
1588896000.0,2020-05-08,XRPUSD,0.2188,0.2224,0.2145,0.2193,8689382.23,1902790.67
1588809600.0,2020-05-07,XRPUSD,0.2117,0.2212,0.2101,0.2188,12122368.85,2628059.78
1588723200.0,2020-05-06,XRPUSD,0.2173,0.2229,0.211,0.2117,8904102.65,1944111.12
1588636800.0,2020-05-05,XRPUSD,0.2182,0.2225,0.2138,0.2173,6683060.53,1453073.85
1588550400.0,2020-05-04,XRPUSD,0.2196,0.2209,0.2075,0.2182,15376007.37,3307661.77
1588464000.0,2020-05-03,XRPUSD,0.224,0.227,0.2159,0.2196,8102406.97,1798917.47
1588377600.0,2020-05-02,XRPUSD,0.2177,0.2259,0.2156,0.224,9732886.25,2154856.23
1588291200.0,2020-05-01,XRPUSD,0.2118,0.2244,0.2114,0.2177,13699449.61,2984811.7
1588204800.0,2020-04-30,XRPUSD,0.2266,0.236,0.2085,0.2118,47394028.49,10609588.05
1588118400.0,2020-04-29,XRPUSD,0.2149,0.235,0.2048,0.2266,35160817.01,7797828.25
1588032000.0,2020-04-28,XRPUSD,0.1979,0.2184,0.195,0.2149,16192752.3,3361757.21
1587945600.0,2020-04-27,XRPUSD,0.1971,0.1997,0.1945,0.1979,11853505.52,2331485.36
