Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1597550400000,2020-08-16 04:00:00,ZECUSD,84.81,86.25,81.59,85.29,2051.29070573
1597464000000,2020-08-15 04:00:00,ZECUSD,86.48,88.5,84.17,84.81,2618.76017959
1597377600000,2020-08-14 04:00:00,ZECUSD,85.17,88.24,83.44,86.48,1935.97303489
1597291200000,2020-08-13 04:00:00,ZECUSD,82.52,87.87,78.07,85.17,6243.76258333
1597204800000,2020-08-12 04:00:00,ZECUSD,78.91,85.0,77.81,82.52,5887.30276873
1597118400000,2020-08-11 04:00:00,ZECUSD,87.79,88.4,76.89,78.91,6887.80393614
1597032000000,2020-08-10 04:00:00,ZECUSD,94.67,94.67,87.61,87.79,4943.602761
1596945600000,2020-08-09 04:00:00,ZECUSD,95.01,95.76,90.0,94.67,3608.43491637
1596859200000,2020-08-08 04:00:00,ZECUSD,92.98,99.07,92.22,95.01,3095.22965549
1596772800000,2020-08-07 04:00:00,ZECUSD,95.95,96.93,88.0,92.98,5711.467206
1596686400000,2020-08-06 04:00:00,ZECUSD,95.09,102.76,92.82,95.95,7809.35954103
1596600000000,2020-08-05 04:00:00,ZECUSD,85.79,97.97,85.52,95.09,8912.38423793
1596513600000,2020-08-04 04:00:00,ZECUSD,83.1,87.75,80.04,85.79,4492.76539216
1596427200000,2020-08-03 04:00:00,ZECUSD,84.52,85.82,81.64,83.1,2504.60231475
1596340800000,2020-08-02 04:00:00,ZECUSD,90.13,90.13,81.94,84.52,706.62122219
1596254400000,2020-08-01 04:00:00,ZECUSD,78.2,94.24,78.2,90.13,12900.32347603
1596168000000,2020-07-31 04:00:00,ZECUSD,70.81,78.99,70.54,78.2,5906.43506923
1596081600000,2020-07-30 04:00:00,ZECUSD,70.46,72.91,70.46,70.81,1258.612684
1595995200000,2020-07-29 04:00:00,ZECUSD,71.4,74.02,70.37,70.46,4258.86535163
1595908800000,2020-07-28 04:00:00,ZECUSD,71.43,73.0,69.22,71.4,2072.95326619
1595822400000,2020-07-27 04:00:00,ZECUSD,68.39,73.0,67.27,71.43,6570.77823775
1595736000000,2020-07-26 04:00:00,ZECUSD,65.08,69.0,63.98,68.39,3732.63277655
1595649600000,2020-07-25 04:00:00,ZECUSD,64.19,65.97,63.23,65.08,3162.169319
1595563200000,2020-07-24 04:00:00,ZECUSD,62.73,64.7,61.8,64.19,4245.16937162
1595476800000,2020-07-23 04:00:00,ZECUSD,63.77,65.0,62.37,62.73,3021.04447765
1595390400000,2020-07-22 04:00:00,ZECUSD,62.92,64.68,60.92,63.77,3755.4048873
1595304000000,2020-07-21 04:00:00,ZECUSD,58.4,64.0,58.4,62.92,6074.7631229
1595217600000,2020-07-20 04:00:00,ZECUSD,57.96,59.0,56.96,58.4,2010.164547
1595131200000,2020-07-19 04:00:00,ZECUSD,58.48,58.5,57.0,57.96,1232.86660037
1595044800000,2020-07-18 04:00:00,ZECUSD,58.57,59.63,58.18,58.48,400.90124945
1594958400000,2020-07-17 04:00:00,ZECUSD,58.71,60.29,58.0,58.57,2073.58473654
1594872000000,2020-07-16 04:00:00,ZECUSD,61.11,61.11,58.71,58.71,34.428895
1594785600000,2020-07-15 04:00:00,ZECUSD,62.0,62.88,60.71,61.11,3913.60120067
1594699200000,2020-07-14 04:00:00,ZECUSD,59.96,62.93,58.96,62.0,3774.30478311
1594612800000,2020-07-13 04:00:00,ZECUSD,61.97,63.79,58.5,59.96,10146.75440125
1594526400000,2020-07-12 04:00:00,ZECUSD,56.25,63.0,55.9,61.97,5070.29552814
1594440000000,2020-07-11 04:00:00,ZECUSD,56.18,56.75,55.06,56.25,3299.61331934
1594353600000,2020-07-10 04:00:00,ZECUSD,55.77,56.47,54.35,56.18,1527.30491677
1594267200000,2020-07-09 04:00:00,ZECUSD,56.68,58.81,55.5,55.77,2426.54651044
1594180800000,2020-07-08 04:00:00,ZECUSD,57.25,58.98,56.54,56.68,5832.82588903
1594094400000,2020-07-07 04:00:00,ZECUSD,54.93,58.0,53.68,57.25,3538.6555159
1594008000000,2020-07-06 04:00:00,ZECUSD,51.78,55.9,51.78,54.93,6851.18644757
1593921600000,2020-07-05 04:00:00,ZECUSD,51.19,52.24,50.18,51.78,620.101702
1593835200000,2020-07-04 04:00:00,ZECUSD,51.26,51.65,50.7,51.19,656.72092
1593748800000,2020-07-03 04:00:00,ZECUSD,51.07,51.58,50.87,51.26,844.57878355
1593662400000,2020-07-02 04:00:00,ZECUSD,52.07,52.07,51.07,51.07,296.359706
1593576000000,2020-07-01 04:00:00,ZECUSD,51.29,52.5,51.29,52.07,3191.25464479
